Title,Author,Genre,Description,Year,Average Rating,Number of Pages,Range
Charles Dickens as a Legal Historian,William Searle Holdsworth,History,"Holdsworth, William S. Charles Dickens as a Legal Historian. New Haven: Yale University Press, 1929. 157 pp. Reprinted 1995 by The Lawbook Exchange, Ltd. LCCN 96-46579. ISBN 1-886363-06-4. Cloth. $40. * ""The distinguished English historian, Professor Holdsworth, has contrived even during his moments of recreation to render us his debtors. No two books outside the bounds of technical law are more worth reading for law students than Pickwick Papers and Bleak House. Even a trained trial lawyer however, is puzzled by some of the legal points brought up by Dickens, because they have fortunately passed forever out of the realm of living law. Professor Holdsworth has performed a valuable service to lawyers and laymen alike in explaining these obscurities. And he has done much more than this. He has increased our admiration for the genius of Dickens by proving his great merit as a legal historian."": Zechariah Chafee, Jr. Harvard Law Review 42:286-8.",2010,3.67,166,<201
Charlie and the Great Glass Elevator,Roald Dahl,Fiction,"Mr. Willy Wonka might be a genius with chocolate, but Charlie and his family don't trust his flying skills one bit. And right now, he's at the helm of a giant glass elevator that's picking up speed and hurtling through space with Charlie and the entire Bucket family stuck inside! Roald Dahl's uproarious sequel to ""Charlie and the Chocolate Factory"" is certain to delight and entertain a new generation of readers. ""From the Hardcover edition.""",1986,3.66,160,<201
Charlie Wilson's War,George Crile,History,"Describes how, after the 1979 Soviet invasion of Afghanistan, maverick Texas congressman Charlie Wilson persuaded his colleagues to fund the CIA's efforts to arm the mujahideen and recounts the repercussions of that covert operation.",2003,4,560,401 - 600
Charms for the Easy Life,Kaye Gibbons,Fiction,"A family without men, the Birches live gloriously offbeat lives in the lush, green backwoods of North Carolina. Radiant, headstrong Sophia and her shy, brilliant daughter, Margaret, possess powerful charms to ward off loneliness, despair, and the human misery that often beats a path to their door. And they are protected by the eccentric wisdom and muscular love of the remarkable matriarch Charlie Kate, a solid, uncompromising, self-taught healer who treats everything from boils to broken bones to broken hearts. Sophia, Margaret, and Charlie Kate find strength in a time when women almost always depended on men, and their bond deepens as each one experiences love and loss during World War II. Charms for the Easy Life is a passionate, luminous, and exhilarating story about embracing what life has to offer ... even if it means finding it in unconventional ways. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",2005,4.02,272,201 - 400
Charon's Landing,Jack Du Brul,Fiction,"Paid millions of dollars by a rogue Arab oil minister to sabotage the Alaska pipeline, Russian mastermind Ivan Kerikov accidentally crosses paths with geologist Philip Mercer, who begins to unravel a tangled web of ecological and economic terrorism. Reprint.",2006,4.07,496,401 - 600
Checkpoint,Nicholson Baker,Fiction,"From Nicholson Baker, best-selling author ofVoxand the most original writer of his generation, his most controversial novel yet.",2005,2.89,128,<201
"Chekhov, the Major Plays",Anton Chekhov,Classics,"This volume includes the classic plays Ivanov (1889), The Sea Gull (1896), Uncle Vanya (1902), Three Sisters (1901), and The Cherry Orchard (1904); each a masterwork of naturalistic drama.",2006,4.18,406,401 - 600
Chemistry and Other Stories,Ron Rash,Fiction,"Spanning the entire twentieth century, a collection of short stories, set against the backdrop of Appalachia, chronicles the struggle of rural communities with the changes of the modern world, capturing the collision between the Old and New South in the lives of the region's inhabitants. Original. 20,000 first printing.",2007,4.19,230,201 - 400
Chicago Stories,John Miller,Fiction,"A selection of stories, articles, poems, and excerpts from longer works about Chicago by Saul Bellow, Eliot Ness, Edna Ferber, Langston Hughes, and others.",2003,3.56,224,201 - 400
Child of God,Cormac McCarthy,Literary Fiction,"In this taut, chilling novel, Lester Ballard--a violent, dispossessed man falsely accused of rape--haunts the hill country of East Tennessee when he is released from jail. While telling his story, Cormac McCarthy depicts the most sordid aspects of life with dignity, humor, and characteristic lyrical brilliance.",1994,3.86,197,<201
Children of God,Mary Doria Russell,Fiction,A priest named Emilio Sandoz embarks on a quest to demystify God's providence that leads him to question the possibility of faith,1999,4.06,451,401 - 600
Children of the Alley,Naguib Mahfouz,Literary Fiction,The story of an Egyptian family mirrors the spiritual history of humankind as a feudal lord disowns one son for diabolical pride and puts another son to the ultimate test,1996,4.1,464,401 - 600
Children of the Mind,Orson Scott Card,Fiction,"In the conclusion of the Ender saga, Ender Wiggin confronts his ultimate challenge when his adopted world, Lusitania, is threatened by his old planet-destroying weapon, and his computer intelligence ally, Jane, is about to be killed off by the Starways Congress. Reprint. 20,000 first printing.",2002,3.75,370,201 - 400
Children of the Night,Mercedes Lackey,Fiction,"When the rock band Wanderlust attracts the attention of Master Jeffries, a psychic vampire who preys on the musicians and their fans, band protector and witch Diana Tregarde prepares for a confrontation with Jeffries with the help of an attractive vampire. Reprint. 15,000 first printing.",2005,3.94,320,201 - 400
Chimera,John Barth,Fiction,"In CHIMERAJohn Barth injects his signature wit into the tales of Scheherezade of the Thousand and One Nights, Perseus, the slayer of Medusa, and Bellerophon, who tamed the winged horse Pegasus. In a book that the Washington Post called ""stylishly maned, tragically songful, and serpentinely elegant,” Barth retells these tales from varying perspectives, examining the myths’ relationship to reality and their resonance with the contemporary world. A winner of the National Book Award, this feisty, witty, sometimes bawdy book provoked Playboy to comment, ""There’s every chance in the world that John Barth is a genius.”",2001,3.73,308,201 - 400
Chocolat,Joanne Harris,Fiction,"When the beautiful and mysterious Vianne moves to Lansquenet and opens a chocolate shop across from the church, the inhabitants of the tiny village find themselves torn between the solemn law of religion and the joyful rewards of Vianne's confections. Reprint. (A Miramax film, releasing December 2000, directed by Lasse Hallstrm, starring Juliette Binoche, Johnny Depp, Alfred Molina, Lena Olin, & Judi Dench) (General Fiction)",2000,3.96,306,201 - 400
Choke,Chuck Palahniuk,Literary Fiction,"""Victor Mancini has devised a complicated scam to pay for his mother's hospital care- pretend to be choking on a piece of food in a restaurant and the person who 'saves you' will feel responsible for you for the rest of their lives. Multiply that a couple of hundred times and you generate a healthy flow of cheques, week in, week out. Victor also works at a theme park with a motley group of losers, cruises sex addiction groups for action, and visits his mother, whose Alzheimer's disease now hides what may be the startling truth about his parentage.""",2002,3.69,293,201 - 400
Choke,Stuart Woods,Fiction,"Chuck Chandler, a Key West tennis pro, tends to choke in his big matches, a tendency he must overcome when he meets Harry Carras and his beautiful wife Clare, and becomes a suspect in Harry's death",1996,3.83,352,201 - 400
Chop Shop,Tim Downs,Fiction,"Intern forensic pathologist Dr. Riley McKay has noticed irregularities in autopsies at the Allegheny County Coroner's lab. Suspecting foul play, she seeks help from Dr. Nick Polchak, the ""bug man"" renowned for his ability to solve murders by analyzing the insects on victim's bodies. Nick and Riley uncover a sinister link between the lab's director and PharmaGen, a start-up drug company specializing in genetic research. They also discover that PharmaGen fronts an underground system to procure transplant organs for wealthy clients by finding and murdering matching donors. But PharmaGen learns of their security breach and orders the couple destroyed. While staying a step ahead of PharmaGen assassins, romantic attraction develops between Nick and Riley. But the attraction is complicated by a tragic secret that Riley hides -- a secret closely tied to one member of PharmaGen's operation which propels the novel to its astonishing conclusion.",2004,4.22,352,201 - 400
Chosen Prey,John Sandford,Fiction,"Hoping to use a supposedly straightforward case of murder to clear his mind, Deputy Chief Lucas Davenport finds himself matching wits with an ever-escalating serial killer, art history professor, congenial pervert, and sexual predator James Qatar.",2002,4.24,383,201 - 400
Christopher and His Kind,Christopher Isherwood,Literary Fiction,"""Originally published in 1976, Christopher and His Kind covers the most memorable ten years in the writer's life - from 1929, when Isherwood left England to spend a week in Berlin and decided to stay there indefinitely, to 1939, when he arrived in America."" ""What most impressed the first readers of this memoir was the candor with which he describes his life in gay Berlin of the 1930s and his struggles to save his companion, Heinz, from the Nazis. An engrossing and dramatic story and a fascinating glimpse into a little-known world, Christopher and His Kind remains one of Isherwood's greatest achievements.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",2001,4.12,352,201 - 400
Chronicle of a Death Foretold,Gabriel Garcia Marquez,Classics,"The Nobel laureate weaves a story of a fantastic wedding, the return of the bride to her parents, her brothers' resolve to murder her corruptor, and the townspeoples' refusal to depart from routine.",2003,3.96,120,<201
Chronicles,Bob Dylan,Literary Fiction,"WINNER OF THE NOBEL PRIZE IN LITERATURE The celebrated first memoir from arguably the most influential singer-songwriter in the country, Bob Dylan. “I’d come from a long ways off and had started a long ways down. But now destiny was about to manifest itself. I felt like it was looking right at me and nobody else.” So writes Bob Dylan in Chronicles: Volume One, his remarkable book exploring critical junctures in his life and career. Through Dylan’s eyes and open mind, we see Greenwich Village, circa 1961, when he first arrives in Manhattan. Dylan’s New York is a magical city of possibilities—smoky, nightlong parties; literary awakenings; transient loves and unbreakable friendships. Elegiac observations are punctuated by jabs of memories, penetrating and tough. With the book’s side trips to New Orleans, Woodstock, Minnesota, and points west, Chronicles: Volume One is an intimate and intensely personal recollection of extraordinary times. By turns revealing, poetical, passionate, and witty, Chronicles: Volume One is a mesmerizing window on Bob Dylan’s thoughts and influences. Dylan’s voice is distinctively American: generous of spirit, engaged, fanciful, and rhythmic. Utilizing his unparalleled gifts of storytelling and the exquisite expressiveness that are the hallmarks of his music, Bob Dylan turns Chronicles: Volume One into a poignant reflection on life, and the people and places that helped shape the man and the art.",2005,3.98,320,201 - 400
Cider,Annie Proulx,Cooking,"The Pilgrims drank cider as they sailed to America aboard the Mayflower. John Adams had a tankard of cider every morning at breakfast. After a long day on safari, Ernest Hemingway liked to kick back beside the campfire with a glass of cider. And Robert Frost saluted his favorite beverage with a poem titled ?In A Glass of Cider.? Neck and neck with brewing beer at home is the resurgence of making cider. Whether sweet, hard, blended, or sparkling, trend watchers say cider, once the preferred beverage of early America, could very well become the drink of the future. (Hard cider is the fastest growing segment of the beverage industry.) Keeping pace with the commercial cider producers are small-scale and individual cider makers who have discovered how easy it is to make their own. After all, the only ingredient you need is an apple. In this updated edition of Cider, Annie Proulx and Lew Nichols take you step-by-step through the process that renders fruit into a refreshing drink. In addition to learning about the equipment you?ll need to make a glorious cider, Proulx and Nichols also discuss the pros and cons of various types of apple presses ? from traditional heavy grinders to sleek hydraulic presses. You?ll also learn about the glass bottles vs. wooden barrels debate; how to filter, fine, and rack your cider; and where and how to store it. Proulx and Nichols provide detailed recipes for making six types of cider: still, sparkling, champagne, barrel, French, and flavored, with advice on which apples to use to achieve a tart, aromatic, astringent, or neutral quality in your cider. In fact, this book is brimming with expert advice on cidermaking. If you want to plant your own apple orchard, this book has an entire chapter that lists which cultivars of apples thrive in which parts of the United States and Canada, along with each cultivar?s characteristics and when it is ready for harvesting. Another chapter explains how to care for an orchard, from improving the soil to pruning and thinning the trees to fighting off pests and wildlife. Once a cidermaker has learned how to make excellent cider, he or she is likely to look for further fields t o explore. With that in mind, the authors include a chapter on making cider vinegars and brandy and using cider in cooking. Finally, Proulx and Nichols walk you through the latest federal regulations covering the production and sale of homemade cider in the United States and Canada, and they familiarize you with the kind of impact state and provincial laws can make.The clear, simple language, numerous illustrations, and detailed step-by-step directions make it easy for even novices to become skilled cidermakers. This revised edition of the classic handbook is a complete guide for anyone who wants to discover the pleasure of making ? and drinking ? fresh cider.",2003,3.64,224,201 - 400
Citizen of the Galaxy,Robert A. Heinlein,Fiction,A youth who has known only the primitive life of a galaxy slave is purchased by a beggar who turns out to be a man with many extracurricular activities.,2005,3.98,288,201 - 400
City of Glass,Paul Auster,Literary Fiction,"'It was a wrong number that started it . . .' Chosen as one of the '100 Most Important Comics of the Century', Faber is proud to publish the graphic novel City of Glass for the first time in the UK. As Art Spiegelman explains in his new introduction, David Mazzucchelli and Paul Karasik 'created a strange doppelganger of the original book' and 'a breakthrough work.' Paul Auster's Edgar Award-nominated masterwork has been astonishingly transformed into a new visual language.",2005,3.92,144,<201
City of God,E. L. Doctorow,Fiction,The theft and mysterious reappearance of a cross from a Manhattan church precipitates a hunt for the culprits that will soon uncover a strange prophecy about a rebirth of the United States. Reprint.,2001,3.41,272,201 - 400
Civilization and Its Discontents,Sigmund Freud,Psychology,Presents the eminent Austrian psychoanalyst's views on the irreconcilable antagonism between instinctual drives and the repressive attitudes of civilization.,2005,3.77,192,<201
Civilwarland in Bad Decline,George Saunders,Short Stories,"A brilliant collection of stories from the winner of the Folio Prize A collection of six stories and a novella, CIVILWARLAND IN BAD DECLINE introduces an astonishing new voice in American fiction. George Saunders' vision of America's near future is as black and funny as you can get. He takes us on a trip to the shopping malls and theme parks and enviromental hazards that lie just around the chronological corner, introducing us to gang of misfits and losers struggling to survive in an increasingly haywire world. Saunders' dialogue is superb, his plots marvellously bizarre: he is an original and uniquely American voice destined to become one of the most important literary discoveries of his generation.",1997,4.22,179,<201
"Classic Myths to Read Aloud: The Great Stories of Greek and Roman Mythology, Specially Arranged for Children Five and Up by an Educational Expert",William F. Russell,Fiction,Presents the essential Greek and Roman myths that form the basis of our cultural literary heritage.,1992,4.09,272,201 - 400
Clay's Quilt,Silas House,Fiction,"Clay Sizemore, a coal miner in love, searches his family history for clues about who he is, uncovering a dramatic story woven into the fabric of his uncle's quilts.",2001,3.95,320,201 - 400
Clea,Lawrence Durrell,Fiction,"After the war Irish emigre Darley becomes involved with Clea, a bisexual artist",1991,4.19,288,201 - 400
Clear Light of Day,Anita Desai,Literary Fiction,The classic novel by the author of Diamond Dust evokes the traumatic history of India after the departure of the British in a story of a Hindu family in Old Delhi and the complex relationships that develop among four people. Reprint.,2000,3.68,183,<201
Close Range,Annie Proulx,Fiction,"A collection of short stories, which includes the short story, Brokeback Mountain.",2000,3.99,285,201 - 400
Clouds,Aristophanes,Classical Greek Literature,"This new translation of the play Clouds examines the two versions of the play, the history of the text, an analysis of Right and Wrong, the purpose of the chorus, and explanations of certain previously unexamined sexualjokes referred to in the play. Dover also includes notes on metrical analysis, a full commentary, and indexes.",1970,3.76,254,201 - 400
Cloudsplitter,Russell Banks,Fiction,"A triumph of the imagination and a masterpiece of modern storytelling, Cloudsplitter is narrated by the enigmatic Owen Brown, last surviving son of America's most famous and still controversial political terrorist and martyr, John Brown. Deeply researched, brilliantly plotted, and peopled with a cast of unforgettable characters both historical and wholly invented, Cloudsplitter is dazzling in its re-creation of the political and social landscape of our history during the years before the Civil War, when slavery was tearing the country apart. But within this broader scope, Russell Banks has given us a riveting, suspenseful, heartbreaking narrative filled with intimate scenes of domestic life, of violence and action in battle, of romance and familial life and death that make the reader feel in astonishing ways what it is like to be alive in that time.",1999,3.9,758,601 - 800
Clown Girl,Monica Drake,Fiction,"Clown Girl lives in Baloneytown, a seedy neighborhood where drugs, balloon animals, and even rubber chickens contribute to the local currency. Against a backdrop of petty crime, she struggles to live her dreams, calling on cultural masters Charlie Chaplin, Kafka, and da Vinci for inspiration. In an effort to support herself and her layabout performance-artist boyfriend, Clown Girl finds herself unwittingly transformed into a ""corporate clown,"" trapping herself in a cycle of meaningless, high-paid gigs that veer dangerously close to prostitution. Monica Drake has created a novel that riffs on the high comedy of early film stars — most notably Chaplin and W. C. Fields — to raise questions of class, gender, economics, and prejudice. Resisting easy classification, this debut novel blends the bizarre, the humorous, and the gritty with stunning skill.",2007,3.42,297,201 - 400
Cod,Mark Kurlansky,History,"A history of the fish that has led to wars, stirred revolutions, sustained economies and diets, and helped in the settlement of North America features photographs, drawings, and recipes, as well as the natural history of this much sought after fish",1998,3.9,294,201 - 400
Codebreakers' Victory,Hervie Haufler,History,"The first ever comprehensive look at World War II codebreaking and how it changed history, veteran cryptographer Haufler's accessible account is ground-breaking work based on years of research and interviews and the mining of previously top-secret archives. In compelling detail, Haufler shows us how cryptography brought the Japanese and Germans to their knees as only one who fought on the frontlines of this 'secret war' could tell it.",2003,4.15,352,201 - 400
Coffin,Yoshitaka Amano,Art,"For over 20 years, the character Vampire Hunter D has haunted the imaginations of people around the world, its image forever etched in the mind's eye through the dazzling artwork of Yoshitaka Amano. As the original novels appear in English for the first time, American readers are clamoring for a more extensive look at this singular creation. Coffin obliges. This gorgeous retrospective embraces the full scope of Amano's work with the character: in the novels, as inspiration for the animators of the two theatrical films, rare paintings, and illustrations created for release as limited edition prints. In addition to the breathtaking artwork, Coffin features an original Vampire Hunter D short story by creator Hideyuki Kikuchi, available nowhere else.",2006,4.58,199,<201
Cold Blood,Lynda La Plante,Fiction,"Recovering alcoholic and private eye Lorraine Page searches the dark underside of New Orleans for the daughter of a fading actress, who vanished during Mardi Gras, and finds herself becoming emotionally involved with the girl's father",1999,3.93,462,401 - 600
Collapse,Jared M. Diamond,History,"This title has been removed from sale by Penguin Group, USA.",2006,3.93,608,601 - 800
Collected Fictions,Jorge Luis Borges,Literary Fiction,"In honor of the centenary of the birth of Borges, this collection of his fiction has been gathered into a single volume. ""An unparalleled treasury of marvels.""--""Chicago Tribune.""",1998,4.58,565,401 - 600
Collected Novellas,Gabriel Garcia Marquez,Classics,"Renowned as a master of magical realism, Gabriel Garcia Marquez has long delighted readers around the world with his exquisitely crafted prose. Brimming with unforgettable characters and set in exotic locales, his fiction transports readers to a world that is at once fanciful, haunting, and real. Leaf Storm, Gabriel Garcia Marquez's first novella, introduces the mythical village of Macondo, a desolate town beset by torrents of rain, where a man must fulfill a promise made years earlier. No One Writes to the Colonel is a novella of life in a decaying tropical town in Colombia with an unforgettable central character. Chronicle of a Death Foretold is a dark and profound story of three people joined together in a fatal act of violence.",1999,4.01,288,201 - 400
Collected Poems,Chinua Achebe,Poetry,"A collection of poetry spanning the full range of the African-born author's acclaimed career has been updated to include seven never-before-published works, as well as much of his early poetry that explores such themes as the African consciousness, the tragedy of Biafra, and the mysteries of human relationships. Original. 20,000 first printing.",2004,3.79,84,<201
Collected Prose,Paul Auster,Literary Fiction,"Features the author's selection of essays, true stories, autobiographical writings, prefaces, collaborations with artists, and articles, covering topics ranging from New York City and Kafka to Sir Walter Raleigh and high-wire artist Philippe Petit.",2005,4.04,528,401 - 600
Collected Short Stories,Graham Greene,Classics,"Affairs, obsessions, ardours, fantasy, myth, legend and dream, fear, pity and violence - this magnificant collection of stories illuminates all corners of the human experience. Previously published in three volumes - ""May We Borrow Your Husband?,"" ""A Sense of Reality"" and ""Twenty-One Stories"" - these thirty-seven stories reveal Graham Greene in a range of contrasting moods, sometimes cynical and witty, sometimes searching and philosophical. Each one confirms V.S. Pritchett's statement that Greene is 'a master of storytelling'.",1986,3.97,368,201 - 400
Collected Shorter Fiction,Leo Tolstoy,Classics,"Collects Tolstoy's shorter fiction, offering insight into his life as a soldier, married life, interest in peasantry, belief in truth and simplicity, and interest in religion.",2001,4.42,848,801 - 1000
Collected Stories,Gabriel Garcia Marquez,Classics,"Collected here are twenty-six of Gabriel Garcia Marquez's most brilliant and enchanting short stories, presented in the chronological order of their publication in Spanish from three volumes: Eyes of a Blue Dog,Big Mama's Funeral, and The Incredible and Sad Tale of lnnocent Eréndira and Her Heartless Grandmother. Combining mysticism, history, and humor, the stories in this collection span more than two decades, illuminating the development of Marquez's prose and exhibiting the themes of family, poverty, and death that resound throughout his fiction.",1999,4.19,352,201 - 400
Collected Travel Writings,Henry James,Classics,"Collects James's travel writings, describing France, Italy, Switzerland, and Holland.",1993,3.7,868,801 - 1000
Collections of the Massachusetts Historical Soceity,Hardpress,History,"This is a reproduction of the original artefact. Generally these books are created from careful scans of the original. This allows us to preserve the book accurately and present it in the way the author intended. Since the original versions are generally quite old, there may occasionally be certain imperfections within these reproductions. We're happy to make these classics available again for future generations to enjoy!",2019,4.13,192,<201
Color,Victoria Finlay,Art,"Examining the physical materials that color the world, a freelance journalist explores the social, political, and cultural implications of color throughout history. Reprint. 15,000 first printing.",2004,3.78,464,401 - 600
Company,Max Barry,Fiction,"On his first day of training, Stephen Jones, a young recruit, reports to the Zephyr Holding Building, where he finds a company defined by its lack of clarity, a building numbered in reverse, an invisible CEO, and a crisis over the theft of a donut, in a zany satire of corporate life. By the author of Jennifer Government. Reprint. 50,000 first printing.",2007,3.73,338,201 - 400
Complete Essays,Aldous Huxley,Classics,"The fourth of six volumes collects essays that British social critic Huxley (1894-1963) wrote during a period that witnessed Germany's Anschluss with Austria, the Sudeten crisis, intensifying violence in the Spanish Civil War, Stalin's purges, Japan's invasion of China, and Mussolini's Ethiopian war. The collection includes all his published essays, in their latest version, and a selection of shorter reviews and brief occasional pieces.",2001,4.33,416,401 - 600
Complete Poems,Edgar Allan Poe,Poetry,"Edgar Allan Poe (1809-1849) is internationally renowned as a pioneering master of the macabre. He is regarded as one of the world's great short story writers as well as a great lyric poet, and is credited with inventing the detective story and the modern gothic horror tale. He has been an important influence on many major American and European writers including William Faulkner, Fyodor Dostoevsky, Baudelaire, H.P. Lovecraft, and William Butler Yeats, among many others. Poe's poetry, which is collected in this volume, is more personal than his prose. The themes of love, death, and despair which recur throughout reflect the anguish he suffered in his own troubled life. ""Annabel Lee"" is a haunting lament to his young wife, Virginia, who died of tuberculosis. ""The Bells"" is an eerie and melancholy meditation which recreates with brilliant musical language the hypnotic, funereal aura of ringing bells. ""The Raven"" is a comic tour de force in which the protagonist turns his strange visitor into a symbol of his own sorrow and loss. Poe's best poems remain some of the most popular and technically accomplished in the English language. This book features a deluxe cover, ribbon marker, top stain, and decorative endpaper with a name plate.",1992,4.32,128,<201
Complete Poems and Major Prose,John Milton,Poetry,"First published by Odyssey Press in 1957, this classic edition provides Milton's poetry and major prose works, richly annotated, in a sturdy and affordable clothbound volume.",1957,4.18,1088,1000 +
"Complete Poems, 1904-1962",E. E. Cummings,Poetry,A collection of the modern poet's work shows his use of satire and sentiment in unconventional verse styles,1994,4.35,1136,1000 +
Complete Shorter Fiction,Oscar Wilde,Classics,"For the first time in one volume, this complete collection of all the short fiction Oscar Wilde published contains such social and literary parodies as ""Lord Arthur Savile's Crime"" and ""The Canterville Ghost;"" such well-known fairy tales as ""The Happy Prince,"" ""The Young King,"" and ""The Fisherman and his Soul;"" an imaginary portrait of the dedicatee of Shakespeare's Sonnets entitled ""The Portrait of Mr. W.H.;"" and the parables Wilde referred to as ""Poems in Prose,"" including ""The Artist,"" ""The House of Judgment,"" and ""The Teacher of Wisdom.""",1998,4.16,288,201 - 400
Complete Stories and Poems of Edgar Allan Poe,Edgar Allan Poe,Classics,"A complete collection of the writings of Poe, including his mysteries, fantasies, satires, and poems",1966,4.38,821,801 - 1000
"Complete Stories, 1892-1898",Henry James,Classics,"Twenty-one stories include ""The Turn of the Screw,"" and ""The Figure in the Carpet""",1996,4.23,958,801 - 1000
Complete Works,Plato,Classical Greek Literature,Gathers translations of Plato's works and includes guidance on approaching their reading and study,1997,4.34,1838,1000 +
Conan,Roy Thomas,Art,"Featuring character profiles, maps, art from original paperbacks, and more, this is the first and only fully illustrated guide to Robert E. Howard's epic fantasy world of Hyboria and to Conan, its greatest champion. Full color.",2006,3.93,160,<201
Conan and the Demons of Khitai,Akira Yoshida,Comics & Graphic Novels,"Set many years in the future from the award-winning ongoing series, Conan and the Demons and Khitai marks Conan's first appearance as King in Dark Horse's best-selling comics revival of the legendary fantasy hero. When King Conan receives an invitation from the Eastern kingdom of Khitai to open trade in precious jewels and spices, he decides that he will travel into this long-mysterious land. Yet to do so is perilous, as those who have requested his company may have far more devious intentions, and beasts unseen by Western eyes lurk amidst the shadows.",2006,3.3,90,<201
Confessions of a French Baker,Peter Mayle,Cooking,"A behind-the-scenes look at the art of French breadmaking includes sixteen recipes from the award-winning Provencal baker, Gerard Auzet, and includes tips for adapting recipes to the American kitchen.",2005,3.64,91,<201
Confessions of an Ugly Stepsister,Gregory Maguire,Fiction,"Is this new land a place where magics really happen? From Gregory Maguire, the acclaimed author of Wicked, comes his much-anticipated second novel, a brilliant and provocative retelling of the timeless Cinderella tale. In the lives of children, pumpkins can turn into coaches, mice and rats into human beings.... When we grow up, we learn that it's far more common for human beings to turn into rats.... We all have heard the story of Cinderella, the beautiful child cast out to slave among the ashes. But what of her stepsisters, the homely pair exiled into ignominy by the fame of their lovely sibling? What fate befell those untouched by beauty . . . and what curses accompanied Cinderella's exquisite looks? Extreme beauty is an affliction Set against the rich backdrop of seventeenth-century Holland, Confessions of an Ugly Stepsister tells the story of Iris, an unlikely heroine who finds herself swept from the lowly streets of Haarlem to a strange world of wealth, artifice, and ambition. Iris's path quickly becomes intertwined with that of Clara, the mysterious and unnaturally beautiful girl destined to become her sister. Clara was the prettiest child, but was her life the prettiest tale? While Clara retreats to the cinders of the family hearth, burning all memories of her past, Iris seeks out the shadowy secrets of her new household--and the treacherous truth of her former life. God and Satan snarling at each other like dogs.... Imps and fairy godmotbers trying to undo each other's work. How we try to pin the world between opposite extremes! Far more than a mere fairy-tale, Confessions of an Ugly Stepsister is a novel of beauty and betrayal, illusion and understanding, reminding us that deception can be unearthed--and love unveiled--in the most unexpected of places.",2000,3.52,372,201 - 400
Confucius Analects,Confucius,Philosophy,Af indeholdet: Kung Fu-tses Analects ; Glossary; Disciples of Confucius; Historical personages; Traditional chinese commentators cited; Traditional chinese texts,2003,3.84,312,201 - 400
Congo,Michael Crichton,Fiction,"Armed with the latest gifts of advanced technology, a California scientist, a ruthless corporation agent, and a mercenary hunter face the dangers of the Congo jungle in search of the diamonds of the lost city of Zinj. Reprint.",2003,3.58,442,401 - 600
Conqueror's Moon,Julian May,Fiction,"With his father on his deathbed, Prince Conrig of Cathra and his lover, the seductive sorceress Princess Ullanoth of Moss, have hatched a plan to reunite the warring kingdoms of High Blenholm under one supreme rule, in the first volume of the Boreal Moon Tale series. Reprint.",2005,3.33,447,401 - 600
Contemporary Political Philosophy,Will Kymlicka,Philosophy,"""This new edition of Will Kymlicka's best selling critical introduction to contemporary political theory has been fully revised to include many of the most significant developments in Anglo-American political philosophy in the last 11 years, particularly the new debates on political liberalism, deliberative democracy, civic republicanism, nationalism, and cultural pluralism."" ""The book now includes two new chapters on citizenship theory and multiculturalism, in addition to updated chapters on utilitarianism, liberal egalitarianism, libertarianism, Marxism, communitarianism, and feminism. Extended guides to further reading have been added at the end of each chapter, listing the most important books and articles on each school of thought, as well as relevant journals and web sites.""--BOOK JACKET.",2002,3.98,512,401 - 600
Continental Drift,Russell Banks,Fiction,"A powerful literary classic from one of contemporary fiction's most acclaimed and important writers, Russell Banks's Continental Drift is a masterful novel of hope lost and gained, and a gripping, indelible story of fragile lives uprooted and transformed by injustice, disappointment, and the seductions and realities of the American dream.",2007,3.87,408,401 - 600
Coraline,Neil Gaiman,Fiction,In Coraline's family's new flat there's a locked door. On the other side is a brick wall—until Coraline unlocks the door . . . and finds a passage to another flat in another house just like her own. Only different. The food is better there. Books have pictures that writhe and crawl and shimmer. And there's another mother and father there who want Coraline to be their little girl. They want to change her and keep her with them. . . . Forever. Coraline is an extraordinary fairy tale/nightmare from the uniquely skewed imagination of #1 New York Times bestselling author Neil Gaiman.,2006,4.05,162,<201
Cosmopolis,Don DeLillo,Literary Fiction,"A brilliant billionaire asset manager, en route via white stretch limo to the local haircutter, finds his trip interrupted by a presidential motorcade, music idol's funeral, movie set, and violent political demonstration, and receives a number of important visitors in the fields of security, technology, currency, finance, and theory. Reprint. 75,000 first printing.",2004,3.22,224,201 - 400
Cosmos,Witold Gombrowicz,Fiction,"Within the genre of crime fiction, Gombrowicz explores the angst of human existence",2005,4.03,208,201 - 400
Count Zero,William Gibson,Fiction,"In the future world of the Sprawl, an urban complex that extends from Boston to Houston, where a sentient computer database known as the Cyberspace matrix dominates humanity's fate, a corporate mercenary, awakening in a reconstructed body, in sent on a perilous mission to retrieve a defecting chief of R&D and his state-of-the-art biochip. Reprint.",2006,4.01,308,201 - 400
Courtesans and Fishcakes,James Davidson,History,This fascinating reappraisal by a rising young scholar takes readers inside a Classical Athens that--contrary to conventional history--savored its pleasures as much as anyone.,1999,3.93,416,401 - 600
